List of samples to include in HIGH Si PLS model 
Index,Sample name 
1,AGV2        
2,AGV2        
3,AGV2        
4,AGV2        
5,AGV2        
26,BK2         
27,BK2         
28,BK2         
29,BK2         
30,BK2         
41,CADILLAC    
42,CADILLAC    
43,CADILLAC    
44,CADILLAC    
45,CADILLAC    
61,GBW07103    
62,GBW07103    
63,GBW07103    
64,GBW07103    
65,GBW07103    
66,GBW07104    
67,GBW07104    
68,GBW07104    
69,GBW07104    
70,GBW07104    
81,GBW07110    
82,GBW07110    
83,GBW07110    
84,GBW07110    
85,GBW07110    
86,GBW07113    
87,GBW07113    
88,GBW07113    
89,GBW07113    
90,GBW07113    
106,GBW07305    
107,GBW07305    
108,GBW07305    
109,GBW07305    
110,GBW07305    
111,GBW07306    
112,GBW07306    
113,GBW07306    
114,GBW07306    
115,GBW07306    
116,GBW07309    
117,GBW07309    
118,GBW07309    
119,GBW07309    
120,GBW07309    
121,GBW07311    
122,GBW07311    
123,GBW07311    
124,GBW07311    
125,GBW07311    
126,GBW07312    
127,GBW07312    
128,GBW07312    
129,GBW07312    
130,GBW07312    
151,GSR2        
152,GSR2        
153,GSR2        
154,GSR2        
155,GSR2        
161,GUWGNA      
163,GUWGNA      
164,GUWGNA      
165,GUWGNA      
186,JA1         
187,JA1         
188,JA1         
189,JA1         
190,JA1         
191,JA2         
192,JA2         
193,JA2         
194,JA2         
195,JA2         
196,JA3         
197,JA3         
198,JA3         
199,JA3         
200,JA3         
221,JR1         
222,JR1         
223,JR1         
224,JR1         
225,JR1         
281,MSHA        
282,MSHA        
283,MSHA        
284,MSHA        
285,MSHA        
351,SWY1        
352,SWY1        
353,SWY1        
354,SWY1        
355,SWY1        
356,TROND       
357,TROND       
358,TROND       
359,TROND       
360,TROND       
366,UMPH        
367,UMPH        
368,UMPH        
369,UMPH        
370,UMPH        
376,UNSZK       
377,UNSZK       
378,UNSZK       
379,UNSZK       
380,UNSZK       
381,VH1         
382,VH1         
383,VH1         
384,VH1         
385,VH1         
451,JSC1365     
452,JSC1365     
453,JSC1365     
454,JSC1365     
455,JSC1365     
461,JSC1414     
462,JSC1414     
463,JSC1414     
464,JSC1414     
465,JSC1414     
466,JSC1415     
467,JSC1415     
468,JSC1415     
469,JSC1415     
470,JSC1415     
511,JSC1421     
512,JSC1421     
513,JSC1421     
514,JSC1421     
515,JSC1421     
522,JSC1374     
523,JSC1374     
524,JSC1374     
525,JSC1374     
