Index,Sample name 
11,BEN         
12,BEN         
13,BEN         
14,BEN         
15,BEN         
76,GBW07108    
77,GBW07108    
78,GBW07108    
79,GBW07108    
80,GBW07108    
91,GBW07114    
92,GBW07114    
93,GBW07114    
94,GBW07114    
95,GBW07114    
96,GBW07216A   
97,GBW07216A   
98,GBW07216A   
99,GBW07216A   
100,GBW07216A   
101,GBW07217A   
102,GBW07217A   
103,GBW07217A   
104,GBW07217A   
105,GBW07217A   
141,GBW07316    
142,GBW07316    
143,GBW07316    
144,GBW07316    
145,GBW07316    
166,GYPA        
167,GYPA        
168,GYPA        
169,GYPA        
170,GYPA        
171,GYPB        
172,GYPB        
173,GYPB        
174,GYPB        
175,GYPB        
176,GYPC        
177,GYPC        
178,GYPC        
179,GYPC        
180,GYPC        
181,GYPD        
182,GYPD        
183,GYPD        
184,GYPD        
185,GYPD        
216,JDO1        
217,JDO1        
218,JDO1        
219,JDO1        
220,JDO1        
246,MHC3828     
247,MHC3828     
248,MHC3828     
249,MHC3828     
250,MHC3828     
292,NAU2HIS     
293,NAU2HIS     
294,NAU2HIS     
295,NAU2HIS     
301,NAU2MEDS    
302,NAU2MEDS    
303,NAU2MEDS    
304,NAU2MEDS    
305,NAU2MEDS    
316,SARM51      
317,SARM51      
318,SARM51      
319,SARM51      
320,SARM51      
321,SGR1        
322,SGR1        
323,SGR1        
324,SGR1        
325,SGR1        
336,SRM88B      
337,SRM88B      
338,SRM88B      
339,SRM88B      
340,SRM88B      
371,UNSAK       
372,UNSAK       
373,UNSAK       
374,UNSAK       
375,UNSAK       
416,SARM16      
417,SARM16      
418,SARM16      
419,SARM16      
420,SARM16      
426,NCSDC47008  
427,NCSDC47008  
428,NCSDC47008  
429,NCSDC47008  
430,NCSDC47008  
431,NCSDC47009  
432,NCSDC47009  
433,NCSDC47009  
434,NCSDC47009  
435,NCSDC47009  
441,JMN1        
442,JMN1        
443,JMN1        
444,JMN1        
445,JMN1        
446,SARM17      
447,SARM17      
448,SARM17      
449,SARM17      
450,SARM17      
561,JSC1426     
562,JSC1426     
563,JSC1426     
564,JSC1426     
565,JSC1426     
896,JSC1450     
897,JSC1450     
898,JSC1450     
899,JSC1450     
900,JSC1450     
901,JSC1451     
902,JSC1451     
903,JSC1451     
904,JSC1451     
905,JSC1451     
1056,MIX2D       
1057,MIX2D       
1058,MIX2D       
1059,MIX2D       
1060,MIX2D       
1061,MIX2O       
1062,MIX2O       
1063,MIX2O       
1064,MIX2O       
1065,MIX2O       
1071,MIX3D       
1072,MIX3D       
1073,MIX3D       
1074,MIX3D       
1075,MIX3D       
1076,MIX3O       
1077,MIX3O       
1078,MIX3O       
1079,MIX3O       
1080,MIX3O       
1100,MIX5D       
1101,MIX5D       
1102,MIX5D       
1103,MIX5D       
1104,MIX5D       
1130,MIX6D       
1131,MIX6D       
1132,MIX6D       
1133,MIX6D       
1134,MIX6D       
1700,54949M      
1701,54949M      
1702,54949M      
1703,54949M      
1704,54949M      
1705,54951M      
1706,54951M      
1707,54951M      
1708,54951M      
1709,54951M      
