Sample,Spectrum,Fold,True_Comp,1,2,3,4,5,6,7,8,9,10
AGV2,1,4,1.79,1.1837333921972775,1.4937282082053409,1.5506460990660085,1.8474978543399361,1.8443066002558202,1.7664798500417982,1.7725409192409562,1.7419611356709586,1.7451248734179821,1.685603346649323
AGV2,2,4,1.79,1.1083968818474239,1.3927245614469852,1.4649955891668198,1.7543756228225309,1.7380845165375565,1.6597048261205165,1.6406116260206476,1.6290555297522928,1.6289112340745515,1.5588868015966748
AGV2,3,4,1.79,1.1084391377145686,1.4349761337256626,1.4799736449697143,1.778544401603213,1.7423395230477494,1.6675142229962576,1.6666160160115406,1.6420248029735094,1.647081767290377,1.60864114243838
AGV2,4,4,1.79,1.0938209642424681,1.4266085032503599,1.476443462969234,1.7803550994542723,1.7460147585911321,1.6732517791058052,1.6690018988396478,1.6438294608916026,1.6456146935646592,1.5963473404298467
AGV2,5,4,1.79,1.1392774090121545,1.4518793572533253,1.5036980602146695,1.816621887347037,1.7997875606602534,1.7271211831119524,1.7135310293445423,1.6917955752195253,1.6892462677407636,1.6485706910074711
BK2,1,3,2.82,2.2905621930536499,2.5179744125841896,2.7686360732912876,2.9678092647480838,3.1586513234157101,3.1881889936791818,3.2300049668204953,3.3822939813796298,3.4630086963172295,3.443655752020117
BK2,2,3,2.82,1.3167733156229842,1.2469243016268154,1.4562253081233942,1.9689871984185365,2.266885953321772,2.2817978416311862,1.9692130534010013,2.2031046739144173,2.1872412105277301,2.3032522411691478
BK2,3,3,2.82,1.1995396798784212,1.5660908582909994,1.5491384224829086,1.7935334450954799,1.7278775727395568,1.687707340401253,1.7257889920313818,1.679609940783396,1.7254637137638296,1.7855050291423886
BK2,4,3,2.82,2.3599284039179862,2.6204641167162164,2.8305540212689713,3.0389625149730795,3.2063223296242391,3.2418782811553362,3.2477178813143572,3.3903180138796625,3.4488141894292079,3.3513445711171848
BK2,5,3,2.82,2.1549043673663673,2.4454068333991259,2.6229678750589454,2.8742035664114396,3.0432090069235631,3.0631352053046292,3.0668064241458359,3.2026537215583009,3.2483541515428889,3.1896743835877119
CADILLAC,1,1,0.21,0.63290784777250397,0.15380523972880722,-0.086068891888585686,0.066500134278608014,-0.050256268528042103,-0.079308456614270995,-0.052065966571618549,-0.15688635532873341,-0.15811157154205002,-0.016121708557483405
CADILLAC,2,1,0.21,0.79302302058831797,0.60214987821445309,0.51525085243341118,0.7201426437094185,0.64698058746363762,0.57965964902665057,0.58513255074619108,0.48997044419523528,0.49504204242769556,0.44427050931881262
CADILLAC,3,1,0.21,0.74406881636695654,0.40248884513067651,0.25457958708304007,0.40898697809747131,0.32976739373699981,0.28268812207952343,0.28754599663456482,0.19548774384895129,0.20650886729693152,0.1998975729999799
CADILLAC,4,1,0.21,0.63175305533217807,0.12285198774934081,-0.090540585367021809,0.024230999868764425,-0.070162131336166222,-0.10454030287044969,-0.14594496409071067,-0.24256109280972815,-0.20352090688133861,-0.1305743027322479
CADILLAC,5,1,0.21,0.82372635948306661,0.5862443170059235,0.49060184777341598,0.644638042385412,0.56000285820050255,0.5065576886480776,0.51908209189919319,0.4224880797326751,0.42825640900729778,0.43602986545323819
GBW07103,1,4,0.42,0.91956996518459955,0.84433480246026849,0.71561307451948808,0.87675380543149906,0.76662981037194444,0.72016037432172164,0.7659995433356046,0.70150510570663127,0.72086392259836363,0.67226865633741217
GBW07103,2,4,0.42,0.81871374205140601,0.7212294946472485,0.54460242274612858,0.71060801643929716,0.57539721499665131,0.52759641905051069,0.53318311529672435,0.46795874172512519,0.49464549733766083,0.43964159226857014
GBW07103,3,4,0.42,0.82885654667507458,0.73864345995121516,0.56764863541223498,0.73566354902424147,0.5985669354268025,0.54512364630930876,0.55617339632463336,0.48098866001735319,0.5084134874903139,0.45628808628776141
GBW07103,4,4,0.42,0.83788552442367936,0.71906322465955452,0.54371730665129103,0.74143726545883404,0.60866232136243203,0.55952702269023913,0.54645864505928654,0.49878636540262544,0.51308432299336237,0.43252283375394462
GBW07103,5,4,0.42,0.9238409599299604,0.71563372264684511,0.62267471320592027,0.74584946286684095,0.66282162638305564,0.61081951109552735,0.64252936956698525,0.59992607040400558,0.63733511216853456,0.52754309789968978
GBW07104,1,4,1.72,1.325570481512985,1.7848823159164402,1.8157664523487,2.0388542186461036,2.0021392435763921,1.9797347679064197,2.0496557224105709,1.981131805450977,1.9889812764860926,1.9534179466285724
GBW07104,2,4,1.72,1.2002553808836955,1.5470257635007623,1.533329637007518,1.7453189203106816,1.7414323281767681,1.7453056332465369,1.8017968039980723,1.7439849155020992,1.7553520124804114,1.755163468571594
GBW07104,3,4,1.72,1.2083931084666826,1.5593956799792088,1.5596955994122668,1.7936196527843722,1.7814256123765209,1.7705906569231114,1.800603313886973,1.7463928120540242,1.7363402335994995,1.7708193856267678
GBW07104,4,4,1.72,1.3235155818366751,1.8202889715544652,1.8367306887183272,2.0548987642529286,1.9969533256978491,1.9640941531108638,2.0315242376125711,1.9707574973342092,1.9875614850397507,1.9323692596401674
GBW07104,5,4,1.72,1.2472378597065805,1.7215040156500654,1.7228718728532233,1.9380818699424378,1.8670037228714507,1.828611089554818,1.8918515586162212,1.8201042656749717,1.8407408030592853,1.816020473627127
GBW07110,1,7,0.84,1.0742018992766034,1.0864823498706082,0.99760484877413735,1.2113123217254924,1.0985721778359545,1.0385918730939241,1.0985509619305396,1.081150247692312,1.0849223395862047,1.0743387219718632
GBW07110,2,7,0.84,1.0974632085325853,1.0995075308880375,1.0710646781237156,1.2912746311550372,1.2197717770938761,1.1298941181440729,1.1710189335326551,1.1763419628049063,1.1672452583842348,1.0969855597698395
GBW07110,3,7,0.84,0.99990616088090978,1.049687892204433,0.95763430164447549,1.1910875753393029,1.0835533467098295,1.0195055389085068,1.0678997897958049,1.046687204817971,1.0568430408785034,0.99670004964103842
GBW07110,4,7,0.84,0.98953399334574688,0.98695528298546853,0.90902508175319574,1.1237831253766419,1.004429943336913,0.93627786618709608,1.0259011693409343,1.0173538917725959,1.0162404425138991,1.0098070477156753
GBW07110,5,7,0.84,0.89149311218788097,0.86763849909235169,0.8551397523427382,1.1095551725300923,1.0337991098215746,0.95772291824886591,1.0334945822169121,1.0452729866153181,1.0396072779973169,1.0195850435296316
GBW07113,1,3,0.16,0.68239797745813091,0.18852300195810878,0.014317097534239931,0.11274488882683653,-0.011693091561681968,-0.079342431501592259,-0.031222279666270669,-0.037806415127233706,-0.00397498770677851,0.1242647751599899
GBW07113,2,3,0.16,0.69149700485494325,0.19427864580818532,0.00070998302815050707,0.085443565806447186,-0.05323412359859292,-0.12616920302446966,-0.077067343879392958,-0.084780080253477497,-0.047731203013352985,0.087101660003173542
