Sample,True_Comp,1,2,3,4,5
AGV2,59.3,51.916761256994022,61.804521056514581,60.279808517132103,60.077315791141238,60.692125210874543
AGV2,59.3,51.743274294150964,61.286296836856046,59.642578985713961,59.809157939735343,60.239751740873032
AGV2,59.3,51.548649150823607,61.446485570257828,60.560340014545574,60.235280139015785,60.843955122479002
AGV2,59.3,51.349566587409555,61.315959557896129,60.156492193253136,59.715367524523906,60.311130221398621
AGV2,59.3,51.740886365370528,61.397825137220956,59.264750368318822,59.071191372080442,59.79996606435801
BCR2,54.1,47.254844547217303,52.99985588744169,48.575354059342772,51.68390700970545,52.126517140767888
BCR2,54.1,48.769605339673433,55.450535577612577,53.48185030747883,57.17656337951604,57.582242307958367
BCR2,54.1,49.016989145614524,53.044393043687954,47.96627944575809,52.11294092599374,52.064092248231852
BCR2,54.1,51.057247616211448,57.672847637939213,53.896303863609226,56.354117851665272,56.237201094067544
BCR2,54.1,48.462646331413602,54.507784758629469,51.334080812318305,54.018439200356973,54.518012499445724
BEN,38.2,39.569486458550145,40.173149758362825,36.771821039216064,40.102452470330903,40.973222197281601
BEN,38.2,39.599346199148314,39.809898649792984,37.738562582377995,40.142222203835132,41.561900952869507
BEN,38.2,41.538570802280965,42.423360137937919,36.775855287597494,39.604206259643362,40.367382421542885
BEN,38.2,40.664924117459393,41.303662444856514,37.958282341564939,41.10266798121836,41.953710863399131
BEN,38.2,40.57525670558244,41.575486595162459,37.109923123262462,40.084566668970837,41.044208575653194
BHVO2,49.9,43.62382105574688,47.055591647740684,46.460986341614834,49.417575299128494,49.761549492466663
BHVO2,49.9,43.247554031758156,46.919913102957139,45.853022241881071,49.732919453959617,50.354522975545628
BHVO2,49.9,42.87222948629347,46.780035186210867,47.887942209670399,51.881874661326904,52.5882242493972
BHVO2,49.9,43.966901992258684,47.936655506040069,47.573004683590682,51.14659499187804,51.748604728631825
BHVO2,49.9,43.920444522728282,48.009966897624224,48.104445246418408,51.472924245589361,51.971000968087608
BIR1A,47.96,39.345528915035132,42.187779805784047,47.569447583418722,47.440778401110137,47.721613010908776
BIR1A,47.96,38.749847663827964,40.845770781341415,46.090940382141099,45.738813020872946,46.320506625216787
BIR1A,47.96,39.857765822934475,40.980176476392231,45.585784684064514,46.323098124900859,46.538517381857517
BIR1A,47.96,41.336402345389629,41.191867301981731,44.939036745858147,45.600709192353548,45.687137385300588
BIR1A,47.96,36.33009239195502,36.943895197668475,43.354049380867153,44.601281926338871,45.170073129634432
BK2,58.83,60.127677478904303,54.253528584172308,50.582839274701577,53.416225921074016,56.244132319433582
BK2,58.83,56.195266786583645,58.962552827478966,50.088721359741271,52.975451494812276,53.566881806120648
BK2,58.83,53.136739040807797,61.51122840256123,61.732701396887585,61.941073244383468,63.256579800553823
BK2,58.83,61.062476948723223,54.7136503319377,49.280025799374634,51.550827488551796,55.208418302086663
BK2,58.83,58.546872310020539,54.831699811774634,48.940239976092002,50.828002506556075,54.253029303106125
BT2,48.57,45.514425925285991,48.482563849724954,48.273676449883666,47.918197899592066,49.18030024707673
BT2,48.57,43.389525486532143,48.606614528165025,49.362419246051822,49.431112128957629,50.888214191750372
BT2,48.57,44.055783016517815,48.989273587963197,50.340207879108014,50.603922189976316,52.324488254239562
BT2,48.57,44.968290876443504,47.457503014389701,47.948568111078124,48.063326826258759,49.250707335824174
BT2,48.57,42.696155433091818,48.231879078706278,49.873147031701308,50.179136459541958,51.575305870644549
CADILLAC,72.2,68.672203404350327,84.352638652231519,84.591461604363587,78.235468143189721,77.333718382091917
CADILLAC,72.2,62.228605703318031,76.000134350467036,75.581219879761562,73.295900877139303,73.010159126077369
CADILLAC,72.2,65.228921347703832,79.237902107763944,79.925589211851033,76.268463127168971,75.482353331081981
CADILLAC,72.2,67.908081760959817,82.928366075382172,85.917755311893671,81.759811478600653,80.579568566729961
CADILLAC,72.2,62.97115811492305,76.329868883156962,75.838550539612953,72.43775902281601,71.996888214494973
GBW07103,72.83,61.269233723061582,71.665783914195245,73.093155978348861,71.041039141937475,71.092515209659894
GBW07103,72.83,61.525657245322058,73.054416349236206,76.34501616516269,73.933285953745241,73.770691648281939
GBW07103,72.83,61.430327791598316,73.216916615495364,76.557982919475108,74.341723925150802,74.257647278498112
GBW07103,72.83,62.788177388443252,74.075011529909801,76.030652261629911,73.65785884912458,73.742160234186017
GBW07103,72.83,63.140440411164235,73.075615363400573,75.261132099490027,74.071411990039593,73.484630424309159
