Sample,Spectrum,Fold,True_Comp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
BEN,1,4,38.2,20.415405970996993,24.355127453295545,29.351383980717888,30.67745368127478,27.082703864745248,27.541197914350892,26.290409768599979,25.278123499446444,24.963891332393906,24.092594286694791,22.388200117726861,19.842648622069866,18.881744818828462,17.316508588975296,17.088031272187731,17.407709019865255,16.657550268025869,16.777971295137199,17.920150635268566,19.346825901609076
BEN,2,4,38.2,19.650526967455402,23.200234203633848,28.910648964525819,29.861646137162595,26.195874200180835,27.245733789926856,25.857724225978558,24.848767200404396,24.520456444834902,23.802837126491582,22.200975113700508,19.434083019206255,18.365468819426749,16.973101068588914,16.721387439157173,16.809098791549367,15.946625876033711,16.02011670095921,16.903401440960671,17.937077718149197
BEN,3,4,38.2,21.588698864415989,25.950422218628894,30.540855789371516,31.604733675933499,27.879416048623685,28.444270959221946,26.846607810465013,25.70557168669901,25.300450194330676,24.72965723336975,23.061261510796776,20.388850650562961,19.552913161679061,17.937671135120791,17.803677268691096,18.197239982399473,17.402019900425991,17.482820872004837,18.588916561373836,19.733511903130598
BEN,4,4,38.2,20.837090775912593,24.587259659635777,29.465086392702805,30.556672851538142,27.057286824093868,27.68028029760741,26.240291699721265,25.222021918815955,24.916169334717004,24.094931598114641,22.354374910541814,19.866406790202994,18.847649853414637,17.195420062228269,16.907377878904008,17.043669665110045,16.127242888347581,16.193820113835798,17.292313994191446,18.640933193805292
BEN,5,4,38.2,20.990222662862344,25.123297483076772,30.079663791211715,31.325348752206772,27.537153779149644,28.162304887243767,26.617623340924478,25.514579034589914,25.146775000525928,24.414868077062017,22.746829561608823,20.075400477226459,19.108247153068568,17.48502484113304,17.25644798283524,17.575532710092588,16.772135794241926,16.864690453047729,17.978274782420641,19.307233506918731
GBW07108,1,7,15.6,8.2330651266002413,12.702553353841147,13.542764949730511,14.581099992925497,15.849686044226891,18.312795307624235,18.267894648591234,18.273306871099148,16.481920534609117,15.99762612670602,15.532850478100153,15.141227201132425,14.530059446664877,13.507873874113166,13.008139268957082,12.901212818062143,13.455201455878907,13.542218772177399,14.220528476284185,14.349249180631903
GBW07108,2,7,15.6,8.5086086053407364,12.945986295141893,13.856880860152401,15.059471332737774,16.398477607808218,18.946237206279328,18.99286639255828,18.841976506032687,16.79517818535269,16.291239801116365,15.774978219197592,15.51658216017643,14.871166180901033,13.946746552928154,13.506889858505957,13.420415026459315,14.027226665255178,14.191101090229171,14.913249060533852,15.011553439239202
GBW07108,3,7,15.6,7.0491831226338855,11.097463496773297,11.880420389540639,13.005686559956494,14.080013947669263,16.504904549522031,16.439242092786255,16.384842568347192,14.695455122089944,14.317209790848924,14.033355722982593,13.787959262866854,13.260641556452434,12.301884118485464,11.774630727260277,11.674963925626455,12.309726766504557,12.398874727992409,13.136731174272985,13.251664482126172
GBW07108,4,7,15.6,9.249316886854114,14.265576754856255,15.308432804323466,16.520887391831472,17.693337252659145,19.970090290458799,19.940732199821138,19.946899861318144,17.65618285865186,16.966107648488183,16.426317035632927,16.039217162420588,15.44636028716959,14.536779330164302,14.103771778317213,13.98642119902069,14.432830654705576,14.44561436470021,15.071140957042386,15.133745508276792
GBW07108,5,7,15.6,7.5375378137441729,11.887792350007228,12.704614988357006,13.656913072691637,14.65608187755754,16.839329771445811,16.766706345249329,16.753392418709875,14.929167815409318,14.408400336361312,13.976223163266067,13.621258901907076,13.091007451526844,12.167027909571805,11.616609761977415,11.465545108697739,12.047786366351495,12.03405906492852,12.678587722039211,12.787737082133123
GBW07114,1,3,0.58,7.1412600271257016,3.3540549076292763,-0.52744117606638952,1.3416692667392525,-0.76232660940546637,-0.038351981543298663,0.060878381664986492,0.47947691058975828,-0.48359101686016714,-0.74285500392250015,-1.1350464183935784,-1.5154382179623056,-2.0567182361318395,-2.1567949398394255,-2.1636642381624078,-1.955077348075843,-1.1268578067223878,-1.01309984488854,-0.92390448843660877,-0.70871394690250966
